Confirmed,Source,KOR
,"—— 未解锁 ——","-잠금 해제되지 않음-"
O,"—章节结束—","— 챕터 종료 —"
,"※以达到满级的升星战姬和3星机兵为目标进行一键升星。通过指定的优先顺序和额外设定来确认一键升星的目标后，点击升星按钮，所选的战姬将全部升星。","※ 만렙 승성전희와 3성 기병을 목표로 원터치 승성을 한다.지정한 우선순위와 추가 설정을 통해 승성의 목표를 확인한 후 승성 버튼을 클릭하면 선택한 전희는 모두 별을 뜬다."
,"※兑换时间：从 2020.12.22 11:00 - 2020.12.23 12:00 为止","※ 교환기간: 2020.12.22 11:00 - 2020.12.23 12:00까지"
,"※前回苍晶属性有利","※ 이전 회차 창정 속성이 유리합니다"
,"※只能选择部位与星级均相同的装备作为素材装备","※ 소재 장비는 부위와 별 모두 같은 장비만 선택 가능"
,"※可能因为多种原因切换频道失败","※ 여러 가지 이유로 채널을 전환하는 데 실패할 수 있습니다"
,"※技能按照1、2、3的顺序释放（普攻之后的技能将无法自动施放）","※ 스킬은 1, 2, 3순위로 방출됩니다(보습 후 스킬은 자동으로 실행되지 않습니다)"
,"※拖动角色框可以快捷换位","※캐릭터 프레임을 끌어당기면 빠르게 위치를 바꿀 수 있습니다"
,"※未获得道具","※아이템 미취득"
,"※点击任意处关闭","※ 임의의 장소 닫기 클릭"
,"※点击任意空白处关闭","※ 임의의 여백으로 닫기 클릭"
,"※点击技能可以查看详情","※ 스킬을 클릭하시면 자세한 정보 보실 수 있습니다"
,"※点击技能可查看详情","※ 스킬을 클릭하시면 자세한 정보 보실 수 있습니다"
,"※点击空白处关闭","※ 여백으로 닫기 클릭"
,"※相同战姬同时可以作为升级、升星素材","※ 동일 전희는 업그레이드, 승성 소재도 가능"
,"※试验性功能","※ 시험적 기능"
,"※该装备没有词条","※ 이 장비는 표제어가 없습니다"
,"※ 以上两种指令只能选择一种激活","※ 위의 두 가지 명령어는 한 가지 활성화만 선택할 수 있습니다."
,"※ 如下载数据超过50MB，则建议您在Wi-Fi环境下完成下载。","※ 다운로드 데이터가 50MB 이상이면, 와이파이 환경에서 다운로드를 완료하는 것을 권장합니다."
,"※ 完成对应声望的任务可积累声望值","※ 성망에 대응하는 작업을 완료하면 성망치를 쌓을 수 있습니다"
,"※ 将追加下载数据。","※ 데이터를 추가 다운로드 합니다."
,"※ 当前为消耗 2倍 的体力，每场战斗获将获得 2回 收益","※ 현재 체력 2배 소비, 전투당 2회 수익"
,"※ 当前处于Wi-Fi环境下，继续下载将不会使用您的流量。","※ 현재 Wi-Fi 환경에서는 계속 다운로드하면 데이터를 사용하지 않습니다."
,"※ 当前未在Wi-Fi环境下，继续下载将会使用您的流量。","※ 현재 Wi-Fi 환경에서는 다운로드 계속 하시면 데이터 사용하실 수 있습니다."
,"※ 当天未登录则无法获得奖励","※ 당일 미등록 시 인센티브를 받을 수 없습니다."
,"※ 当天未登陆则无法获得奖励","※ 당일 미등록 시 인센티브를 받을 수 없습니다."
,"※ 新人每日招募证累计可获得特殊任用许可","※신인 일일모집증 누적으로는 특수임용허가를 받을 수 있습니다."
,"《机动战姬：聚变》运营团队","'기동전희:융합' 운영진"
,"「天鹅」玛格特是空降师团中一名较为特殊的成员，她的装备并不以火力见长，更偏向于帮助友方单位修复装甲，或提供额外的运算单元以进行武器超频工作等等。\n目前不仅是空降师团，纵观奥托露娜与阵线联合的所有\nAG，能够辅助队友的成员都只占总数的10%不到，具备修复能力的玛格特更是占据着独特的战术定位。","「백조」 마거트는 공수 사단의 특수한 조직원이었다. 그녀의 장비는 화력이 뛰어나지 않고, 장갑 복구를 돕거나, 초주파 무기 작업을 위해 별도의 연산 셀을 제공하는 등이었다. \n은 현재 공수 사단뿐만 아니라, 오토루나가 전선과 연합한 모든 \nAG를 보면, 동료들을 보조할 수 있는 조직원은 전체의 10%밖에 되지 않는다. 또한, 특수 구조 능력을 가진 마거트이다."
,"「燃风矿团」的AG大多都脱离自阵线卫队。古蕾也不例外，在阵线的记录中能查阅到她的作战记录和失踪报告。不过让人意外的是，古蕾并非无名小卒，在许多重要的作战中她都留下了出色的战绩。\n本应在阵线卫队中脱颖而出的她，却在一次战斗中失去了踪迹。再次出现目击记录时，她已经成为燃风矿团的一员了。","「연풍광단」의 AG는 대부분 자진위대를 이탈했다.구레이도 예외가 아니라 전선의 기록에서 그의 작전기록과 실종보고서를 볼 수 있다.뜻밖에도 구레는 무명도 아니고 여러 중요한 전투에서 뛰어난 성적을 남겼다.\n전진수비대에서 뛰어야 할 그녀는 한 번의 전투에서 자취를 감췄다.목격 기록이 다시 나왔을 때는 이미 연풍광단의 일원이 돼 있었다."
,"「鹰身女妖」的3号担当，原本是阵线的后勤成员，因为出色的天赋而被选入「鹰身女妖」计划。原本看上去应该是个挺励志的故事，但多与菲比交流之后就能明白，她并非自愿参加「鹰身女妖」计划。\n也许是一个误会，又或者是因为菲比单纯不擅长拒绝他人，她能成为鹰身女妖的一员实在有些不可思议。","'응신녀요'의 3호 담당은 원래 전선의 후방 멤버였으나 뛰어난 재능으로 인해 '응신녀요' 프로젝트에 선정되었다.원래는 매우 활기찬 이야기처럼 보이지만, 피비와 많이 교류해 보면 그녀가 결코 응신녀 요괴 프로젝트에 자원한 것이 아니라는 것을 알 수 있습니다. \n은 오해일 수도 있고, 아니면 피비가 단순히 다른 사람을 거절하는 것에 약해서인지, 그녀가 응신녀 요괴의 일원이 될 수 있다는 것은 정말 놀랍습니다."
,"「三天刃」修罗究竟是什么人？\n「一天刃」的剑术、「二天刃」的身法以及「四天刃」的带有特殊作用的薙刀舞，这些「天之刃」成员的作战方式尽管不可思议，但尚且能够判明原理。\n而「三天刃」修罗，她的身体强度、战斗天赋以及恐怖的破坏力都早已超越了科技可以解释的程度，一个人类竟然有着这么强大的力量，实在难以置信。\n目前有关修罗的所有记录都在阵线首脑的严格控制下，禁止任何人以任何名义检阅。","삼일날 수라는 도대체 어떤 사람입니까? \n날 하루의 검술, 이일날의 신법, 사일날 특수 작용을 하는 슴새의 칼춤. 이 하늘의 날 멤버의 작전 방식은 불가사의하지만, 원리를 판명할 수 있습니다. \n날, 삼일날 수라는 그녀의 신체 강도, 전투 천재 및 공포의 파괴력은 현재 이미 모든 과학 기술을 초월했습니다."
