Confirmed,Id,Source,KOR
,"300001001","竟然敢把我抓起来，我一定要把你们的舰船改造成猫球工厂！","감히 나를 붙잡다니, 너희 함선을 반드시 고양이 공장으로 개조하겠다!"
,"300001002","总有一天，我会占领奥特兰德号，把你们都变成我的手下！","언젠가는 오트란데호를 점령해서 너희들을 모두 내 수하로 만들 거야!"
,"300002001","傀儡、阵线还有奥托露娜，这些东西在猫球眼里都不在话下！和我们一起征服这个世界吧！","꼭두각시, 전선, 그리고 오토루나, 이런 것들은 모두 고양이 공의 눈에는 아무렇지도 않다!우리와 함께 이 세상을 정복하자!"
,"300002002","征服世界迈出的第一步！果然我比小黑靠谱多了！下一任猫球中枢怎么看都应该是我吧！","세계 정복의 첫걸음!역시 나는 작은 흑보다 훨씬 믿음직스러워!다음 캣볼의 중추는 어떻게 보면 내가 아닐까."
,"300015001","赴死者，已激活。","죽음으로 가는 것, 이미 활성화되었다."
,"300015002","赴死者，完成任务。","죽은 자에게 가서 임무를 완수하다."
,"300016001","镇压者，已激活。","진압자, 활성화됐다."
,"300016002","镇压者，完成任务。","진압자, 임무를 완수하다."
,"300017001","鼓手，已激活。","드러머, 활성화되었습니다."
,"300017002","鼓手，完成任务。","북을 치며 임무를 완성하다."
,"400022001","我是糖糖L型！只要跟着大家一起出击就可以了吗？我会加油哒！","난 사탕 L형이야! 그냥 따라가면 돼?힘낼게!"
,"400022002","放心放心，我会把大家作战的英姿完整地记录下来的！","안심하고 싸운 여러분의 늠름한 모습을 온전히 기록하겠습니다!"
,"400023001","我是糖糖XL型！负重好像比L型增加了一些！看来能记录更多的作战资料啦！","나는 설탕 XL형!L라인보다 하중이 좀 늘어난 것 같아요!더 많은 작전 자료를 기록할 수 있을 것 같다."
,"400023002","嘿嘿，负重增加了之后，撞击的力度也变大了！看来我的装甲还是蛮结实的嘛！","헤헤, 하중이 늘자 충격의 강도도 커졌다!내 장갑은 아직 튼튼한가 봐!"
,"400024001","我是糖糖XXL喔！比L型和XL型能记录更多、更多的战斗资料！快带我去战斗吧！","나는 설탕 XXL 오!L형과 XL형보다 더 많은 전투자료를 기록할 수 있습니다!어서 나를 데리고 가서 싸워라!"
,"400024002","好重好重！指挥官！快帮我一下！我快抬不动啦！","무거워 무거워! 지휘관!빨리 나를 좀 도와줘! 나는 들 수가 없어!"
,"400025001","是可可哦！想把我喝掉的话，指挥官可要变成AG才行！","코코아예요! 날 마시려면 지휘관이 AG가 돼야 해요!"
,"400026001","是可可哦！想把我喝掉的话，指挥官可要变成AG才行！","코코아예요! 날 마시려면 지휘관이 AG가 돼야 해요!"
,"400027001","是可可哦！想把我喝掉的话，指挥官可要变成AG才行！","코코아예요! 날 마시려면 지휘관이 AG가 돼야 해요!"
,"400028001","呜呜、大家，不要欺负我……","우우 여러분 나를 괴롭히지 마세요."
,"400029001","呜呜、大家，不要欺负我……","우우 여러분 나를 괴롭히지 마세요."
,"400030001","呜呜、大家，不要欺负我……","우우 여러분 나를 괴롭히지 마세요."
,"400031001","酷暑的救星！冰凉冰凉的我来啦！有谁要冰镇一下吗！","폭염의 구원투수! 차디찬 내가 온다!얼음 좀 식혀줄 사람 있어!"
,"400032001","酷暑的救星！冰凉冰凉的我来啦！有谁要冰镇一下吗！","폭염의 구원투수! 차디찬 내가 온다!얼음 좀 식혀줄 사람 있어!"
,"400033001","酷暑的救星！冰凉冰凉的我来啦！有谁要冰镇一下吗！","폭염의 구원투수! 차디찬 내가 온다!얼음 좀 식혀줄 사람 있어!"
,"400034001","究竟是先有猫球，还是先有猫球中枢……这是个问题。","캣볼이 먼저냐, 캣볼 중추가 먼저냐."
,"400035001","究竟是先有猫球，还是先有猫球中枢……这是个问题。","캣볼이 먼저냐, 캣볼 중추가 먼저냐."
,"400036001","究竟是先有猫球，还是先有猫球中枢……这是个问题。","캣볼이 먼저냐, 캣볼 중추가 먼저냐."
,"200001001","机动战姬。","기동전희."
,"200001002","世界首例成功改造并投入实战的AG，编号01、代号「云雀」的妮欧，从现在开始协助您的舰队作战。指挥官，为了这个世界的明天，我们一起努力战斗吧。","세계 최초로 성공적으로 개조되어 실전에 투입된 AG, 일련번호 01, 종달새의 네오는 지금부터 당신의 함대 작전을 돕습니다.지휘관, 이 세상의 내일을 위해 우리 모두 열심히 싸웁시다."
,"200001003","指挥官早安，今天也一起努力，驱逐更多的傀儡吧。","지휘관 안녕, 오늘도 함께 노력해서 더 많은 꼭두각시들을 쫓아내자."
,"200001004","欢迎您回来，指挥官，您刚刚是去开会了吗？","어서 오십시오. 지휘관님, 방금 회의에 가셨습니까?"
,"200001005","该出发了吗？好的，我马上去准备！","출발해야 합니까? 네, 바로 가서 준비하겠습니다!"
,"200001006","哇！那、那个，指挥官……刚刚您是……不小心的吗？","와! 저기, 지휘관...아까는...조심하지 않으셨습니까?"
,"200001007","嗯？啊，没问题的，我可以继续工作，还不觉得累哦。","네? 아, 괜찮아요. 계속 일할 수 있어요. 아직 힘들지 않아요."
,"200001008","谢谢您关心我，指挥官，但是对我来说，只要能在这里帮您的忙，自己累一点也没有关系。","신경 써주셔서 감사합니다, 지휘관님. 하지만 저로서는 여기서 도와드릴 수만 있다면 힘들어도 상관없습니다."
,"200001009","指挥官，您对近期的地表局势有什么见解呢？我想听听您的分析。","지휘관, 요즘 지표 판세에 대해 어떻게 생각하십니까?분석을 듣고 싶습니다."
,"200001010","我们为了拯救更多的生命而战，无论今后的形势如何改变，我们也不能忘记这份初心。","우리는 더 많은 생명을 구하기 위해 싸웠고, 앞으로의 상황이 어떻게 바뀌든 그 초심을 잊어서는 안 된다."
,"200001011","指挥官，凭借我的经验与您的战术，您认为我们可以将这场战争……将这个世界，改变成什么样子呢？","지휘관, 내 경험과 당신의 전술로 우리가 이 전쟁을… 이 세상을, 어떻게 바꿀 수 있다고 생각하십니까?"
,"200001012","您还在犹豫接下来的任务吗？需不需要我给点建议呢？","다음 작업을 아직도 망설이고 계십니까?제 조언 좀 드리지 않을래요?"
,"200001013","指挥官，您是不是累坏了？毕竟您总是在辛勤地工作，偶尔也放松心情，休息一下吧。","지휘관, 지치신 거 아닙니까?결국 당신은 항상 부지런히 일을 하고 있기 때문에, 가끔은 마음을 느긋하게 가지고 휴식을 취하세요."
,"200001014","旗舰收到了一批新的支援物资，指挥官，请您尽快查看吧。","플래그십에 새로운 지원 물자가 들어왔습니다. 지휘관님, 빨리 확인하시기 바랍니다."
,"200001015","指挥官，我们收到了新的联络，唔……似乎是关于特别战略行动的通知哦。","지휘관, 새로운 연락을 받았는데, 음…특별전략행동에 대한 통지인 것 같다."
,"200001022","啊，该休息了吗？时间过得可真快啊。","아, 좀 쉬어야겠어요?시간이 참 빨리 가는구나."
,"200001023","今天有什么新闻呢，让我看看。嗯，嗯嗯……","오늘 무슨 뉴스가 있는지 좀 봅시다.음, 음, 음..."
,"200001024","零四在这里吗？希望她不要锻炼过头，又让自己受伤了……","4，여기 있어요？너무 운동해서 또 상처받지 않았으면..."
,"200001025","即使积累了足够的战斗经验，平日的装备维护与训练也不能疏忽哦。","충분한 전투경험을 쌓았더라도 평소 장비 유지와 훈련을 소홀히 해서는 안 된다."
