Confirmed,Id,Source,KOR
,"10010001","自身生命低于80%时","자신의 생명이 80%이하인 경우"
,"10010002","自身生命低于70%时","자신의 생명이 70%이하인 경우"
,"10010003","自身生命低于60%时","자신의 생명이 60%이하인 경우"
,"10010004","自身生命低于50%时","자신의 생명이 50%이하인 경우"
,"10010005","自身生命低于40%时","자신의 생명이 40%이하인 경우"
,"10010006","自身生命低于30%时","자신의 생명이 30%이하인 경우"
,"10011001","自身能量为4点以上时","자신의 에너지가 4포인트 이상인 경우"
,"10011002","自身能量为80点以上时","자신의 에너지가 80포인트 이상인 경우"
,"10012001","自身处于增益状态时","자신이 플러스 상태일 때"
,"10012002","自身处于2个以上增益状态时","자신이 2개 이상의 플러스 상태인 경우"
,"10012003","自身不处于增益状态时","스스로가 이득이 되지 않는 경우"
,"10013001","自身处于减益状态时","자신이 이익감소 상태인 경우"
,"10013002","自身处于2个以上减益状态时","자신이 2개 이상의 감익상태인 경우"
,"10014001","敌方目标少于3人时","적 목표가 3명 이하인 경우"
,"10014002","敌方目标少于2人时","적의 목표가 2명 이하인 경우"
,"10014003","敌方目标只有1人时","적 목표가 단 한 명일 때"
,"10014011","己方目标少于3人时","자신의 목표가 3명 이하인 경우"
,"10014012","己方目标少于2人时","자신의 목표가 2명 이하인 경우"
,"10014013","己方目标只有1人时","자신의 목표가 1인일 때"
,"10014014","己方目标不只有1人时","자신의 목표가 1인만이 아닐 때"
,"10015001","自身必杀技处于冷却中时","자신의 필살기가 냉각되어 있을 때"
,"10016101","自身处于隐匿状态时","자신이 은닉 상태일 때"
,"10016102","自身处于无敌状态时","자신이 무적 상태일 때"
,"10016103","自身处于速度提升状态时","자신이 속도 향상 상태인 경우"
,"10017001","自身为强袭类型战姬","자신이 강습유형 전희"
,"10017002","自身为均衡类型战姬","자신이 균형 있는 타입 전희"
,"10017003","自身为防卫类型战姬","자신이 방위유형 전희"
,"10017004","自身为战术类型战姬","자신이 전술 유형 전희"
,"10017005","自身为修复类型战姬","자신이 복구 유형의 전희"
,"10017101","自身为奥托露娜骑士团的战姬","자신이 오토루나 기사단의 전희"
,"10017102","自身为净化者的战姬","스스로 정화자의 전희"
,"10017103","自身为空降师团的战姬","자신은 공수 사단의 전희이다"
,"10017104","自身为山猫小队的战姬","자신이 링스 소대의 전희이다"
,"10017105","自身为锻米尔特遣队的战姬","자신은 밀트 파견대의 전희이다"
,"10017106","自身为机动化魔法少女的战姬","스스로 기동화 마법소녀인 전희"
,"10017107","自身为阵线卫队的战姬","자신이 전선 수비대의 전희이다"
,"10017108","自身为天之刃的战姬","스스로가 하늘의 칼인 전희"
,"10017109","自身为燃风矿团的战姬","자신은 연풍광단의 전희이다"
,"10017110","自身为骨架学院的战姬","자신이 골격학원 전희"
,"10017111","自身为七武士的战姬","자신은 7무사의 전희이다"
,"10017112","自身为鹰身女妖的战姬","스스로 매신녀의 도깨비인 전희"
,"10017113","自身为光之翼的战姬","자신이 빛의 날개인 전희"
,"10017114","自身为十字星学生会的战姬","스스로 십자성 학생회의 전희다"
,"10017115","自身为蜘蛛特工的战姬","스스로 스파이더 공작원인 전희"
,"10017116","自身为戈尔贡的战姬","자신은 고르곤의 전희이다"
,"10017117","自身为蝠音猎人的战姬","박쥐소리 사냥꾼의 전희"
,"10017118","自身为骷髅涂鸦的战姬","스스로 해골 낙서한 전희"
,"10017119","自身为胡萝卜中队的战姬","자신이 당근 중대의 전희이다"
,"10017120","自身为阵线之子的战姬","자신이 전선의 아들인 전희"
,"10017121","自身为猫球","스스로 캣볼이다"
,"10080001","敌方有处于电击状态的目标时","적에게 전기충격 상태의 표적이 있을 때"
,"10080002","敌方有处于烧伤状态的目标时","적에게 화상 상태의 표적이 있는 경우"
,"10090001","友方有处于减益状态的目标时","우방이 이익감소 상태에 있는 경우"
,"10090002","友方有处于2个以上减益状态的目标时","우방이 2개 이상의 이익감소를 목표로 하는 경우"
,"10100001","友方全体处于减益状态时","우방 전체가 이익 감소 상태일 때"
,"10100002","友方全体处于增益状态时","우방 전체가 이익 증대 상태일 때"
,"10110001","敌方全体处于减益状态时","적 전체는 이익 감소 상태에 처해 있다."
,"10110002","敌方全体处于增益状态时","적 전체는 이익 증대 상태에 처해 있다."
,"10120001","敌方有处于减益状态的目标时","적에게 이익감소 상태의 목표가 있는 경우"
,"10120002","敌方有处于2个以上减益状态的目标时","적이 2개 이상의 이익감소 상태에 있는 경우"
,"10130001","敌方有处于增益状态的目标时","적에게 이득이 되는 상황이 있는 경우"
,"10130002","敌方有处于2个以上增益状态的目标时","적에게 2개 이상의 이득이 되는 목표가 있는 경우"
,"10140001","敌方没有处于减益状态的目标时","적에게 이익 감소의 목표가 없는 경우"
,"20010001","敌方有生命低于80%的目标时","적에게 80%이하의 생명이 있는 경우"
,"20010002","敌方有生命低于70%的目标时","적에게 70%이하의 생명이 있는 경우"
,"20010003","敌方有生命低于60%的目标时","적에게 생명이 60%이하인 목표가 있는 경우"
,"20010004","敌方有生命低于50%的目标时","적에게 50%이하의 생명이 있는 경우"
,"20010005","敌方有生命低于40%的目标时","적에게 40%이하의 생명이 있는 경우"
,"20010006","敌方有生命低于30%的目标时","적에게 30%이하의 생명이 있는 경우"
,"20010011","敌方最低角色生命高于50%时","적의 최저 캐릭터 생명이 50%이상인 경우"
,"20020001","技能主目标生命低于80%时","기능 주 목표 생명이 80%이하인 경우"
,"20020002","技能主目标生命低于70%时","기능 주 목표 생명이 70%이하인 경우"
,"20020003","技能主目标生命低于60%时","기능 주 목표 생명이 60%이하인 경우"
,"20020004","技能主目标生命低于50%时","기능 주 목표 생명이 50%이하인 경우"
,"20020005","技能主目标生命低于40%时","기능 주 목표 생명이 40%이하인 경우"
,"20020006","技能主目标生命低于30%时","기능 주 목표 생명이 30%이하인 경우"
,"30010001","友方有生命低于80%的目标时","우방의 생명이 80%이하인 경우"
,"30010002","友方有生命低于70%的目标时","우방이 70%이하의 생명이 있는 경우"
,"30010003","友方有生命低于60%的目标时","우방이 생명이 60%이하인 경우"
,"30010004","友方有生命低于50%的目标时","우방의 생명이 50%이하인 경우"
,"30010005","友方有生命低于40%的目标时","우방이 40%이하의 생명이 있는 경우"
