Confirmed,Category,Id,Source,KOR
,"Agstory","Agstory_title_100101","データ1","데이터 1"
,"Agstory","Agstory_title_100102","データ2","데이터2"
,"Agstory","Agstory_title_100103","データ3","데이터3"
,"Agstory","Agstory_title_100104","データ4","데이터4"
,"Agstory","Agstory_title_100105","データ5","데이터5"
,"Agstory","Agstory_content_100101","ここ数年、技術の進歩と共にAGの系譜もまた発展を続け、早期のAGのコアを使用しているニオと理論上のAGの出力上限、両者の距離はますます広がっている。\nとはいえ、誰も「ニオは退役すべきだ」とは言わない。ニオの豊富な戦闘経験は簡単に数値化できるものではなく、実戦結果から見て彼女の経験は時代遅れの装備の欠点を補っているだけでなく、予測不能な力を備えている。\n彼女を戦場の前線で活躍させ続けることは、全人類にとって最良の選択である。","최근 몇년간, 기술의 진보와 함께 AG의 계보 또한 발전을 계속해 조기의 AG의 코어를 사용하고 있는 니오와 이론상의 AG의 출력 상한, 양자의 거리는 더욱 더 넓어지고 있다.\n그렇다고는 해도, 아무도 「니오는 퇴역해야 한다」라고는 말하지 않는다.니오의 풍부한 전투 경험은 쉽게 수치화될 수 없으며 실전 결과로 볼 때 그의 경험은 시대에 뒤떨어진 장비의 결점을 보완했을 뿐 아니라 예측 불가능한 힘을 갖추고 있다.\n그녀를 전장의 전선에서 계속 활약시키는 것은 전 인류가 최선의 선택이다."
,"Agstory","Agstory_content_100601","「シグナス」マルゴットは空挺師団の中でもやや特殊なメンバーで、彼女の装備は火力よりも、味方の装甲の修復サポート或いは追加の演算ユニットを提供して武器のクロックアップ作業などを行うことに長けている。\n現在は空挺師団のみならず、オートルナとGRA連合の全AGに気を配っている。\n仲間をサポートできるメンバーは全体の10%にも満たず、修復能力を持つマルゴットは戦術的に唯一無二の地位を占めている。","“시그너스” 마르고트는 공수 사단 내 다소 특수한 요원으로, 그의 장비는 화력보다는 아군 장갑의 수복 지원 혹은 추가 연산 유닛을 제공하고 무기 클락업 작업 등을 수행하는 데 능하다.\n현재는 공정사단뿐만 아니라 오토루나와 GRA 연합의 전 AG에 신경을 쓰고 있다.\n동료를 도울 수 있는 회원은 전체의 10%도 안 되고 복구 능력을 가진 마르곳 은 전술적으로 유일무이한 지위를 차지하고 있다."
,"Agstory","Agstory_content_100602","オートルナの要求により、マルゴット個人の履歴と臨床データは「オートルナ重工」が直接管理しており、戦闘データも全て定期的に重工本部に提出しなればならない。このオートルナの国有企業はAGのコアの生産をメインに、「シグナス」マルゴットを傘下の直属AGとして、特殊なコア技術を使用している可能性が高い。\nしかし、無断でコアを調査するのは協定に違反する行為であり、ユニオン艦隊はこれに関するデリケートな問題を慎重に処理しなければならない。","오토루나의 요구에 따라 마르곳 개인의 이력과 임상 데이터는 오토루나중공이 직접 관리하고 전투 데이터도 모두 정기적으로 중공 본부에 제출해야 한다.이 오트루나 국유기업은 AG의 코어 생산을 주축으로 시그너스 마르고트를 산하 직속 AG로 특수 코어기술을 사용했을 가능성이 높다.\n하지만 무단으로 핵심을 조사하는 것은 협정에 위반되는 것이며 유니언 함대는 이와 관련한 민감한 문제를 신중하게 처리해야 한다."
,"Agstory","Agstory_content_100604","マルゴットは自分が人間、傀儡、他のAGよりも高等で、これらの「下等生物」は平等な態度で接するに値しないと思っている。その態度が多くの艦隊のAGたちの不満を買い、少なからずマルゴットに悪影響を及ぼしている。\nしかし、高慢なマルゴットはその事をまったく気にしていない。彼女は自分と同等に渡りあうにふさわしい優秀な生物が現れるのを待っている。その時が来れば、彼女は相手に一定の尊敬を示し、本当の「友情」や「絆」が芽生えるだろう。","마르고트는 자신이 인간, 괴뢰, 다른 AG보다 더 고등적이며 이들 하등생물들은 평등한 태도로 대할 만하지 않다고 생각한다.그 태도가 많은 함대 AG들의 불만을 사고, 적잖이 마르고트에 악영향을 미치고 있다.\n그러나 도도한 마르골은 그 일에 전혀 개의치 않는다.그녀는 자신과 동등하게 서로 싸우기에 적합한 우수한 생물이 나타나기를 기다리고 있다.때가 되면 그녀는 상대방에게 일정한 존경을 표시할 것이고 진정한 우정이나 유대가 싹틀 것이다."
,"Agstory","Agstory_content_100701","世界初の格闘型AGで、初めて大幅な義肢化の改造を受けたAGでもある。\nGRA出身である事以外、過去の経歴やAGとなった由来については機密情報となっている。また、本名すら知られておらず、\nAGのコードであるゼロヨンと呼ばれている。\n過去に四肢に深刻な損傷を受け、戦闘用の義肢を接種したことで、彼女は戦闘の中で生まれ変わっただけでなく、超人的な戦闘力を手に入れた。","세계 최초의 격투형 AG로, 처음으로 대폭적인 의지화의 개조를 받은 AG이기도 하다.\nGRA 출신이라는 것 이외, 과거의 경력이나 AG로 된 유래에 대해서는 기밀정보가 되고 있다.또, 본명조차 알려져 있지 않고,\nAG의 코드인 제로연으로 불리고 있다.\n과거 사지에 심각한 손상을 입고 전투용 의지를 접종함으로써 그녀는 전투에서 다시 태어났을 뿐만 아니라 초인적인 전투력을 얻었다."
,"Agstory","Agstory_content_100703","分別のない若いAGの間で、秘かに「01号から04号の4人の大先輩の中には抑制関係が存在する」という話が伝わっている。02号のレラが03号のメルを抑制するなら、ゼロヨンを抑制しているのはAG-01のニオ。\nニオは責任感と行動力溢れる人物で、彼女はいつも重傷を負った過去がある仲間を心配している。戦闘であれ日常生活であれ、特にゼロヨンを気にかけ、相手が不機嫌な顔をしてもまったく気にしない。\nゼロヨンはお手上げ状態で、こういう強硬手段に弱いのかもしれない。","분별없는 젊은 AG들 사이에 은근히 20012004호 네 대선배 중에는 억제관계가 존재한다는 얘기가 전해진다.02호의 레라가 03호의 메일을 억제한다면, 제로용을 억제하는 것은 AG-01의 니오.\n니오는 책임감과 행동력이 넘치는 인물로 그녀는 늘 중상을 입었던 과거가 있는 동료를 걱정하고 있다.전투든 일상생활이든, 특히 제로영을 걱정하고, 상대가 언짢은 얼굴을 해도 전혀 개의치 않는다.\n제로영은 속수무책으로 이런 강경수단에 약한지도 모른다."
,"Agstory","Agstory_content_100705","ゼロヨンの自暴自棄な戦闘スタイルについて、「復讐」という理由が最も近いのかもしれないが、「復讐」という言葉で片付けられるほど単純ではない。\nこれは過去の重傷事件と関係があるのかもしれない。残念なことに、GRAのデータベースに対する管理がかなり厳しく、首脳に特別に申請しても、「不要」として閲覧を拒否される。\nしかし同時に、首脳も「いつか彼女たちが自ら真相を語る」事は認めている。\nその日がいつなのか？","제로영의 자포자기한 전투 스타일에 대해 복수라는 이유가 가장 가까울지 모르지만 복수라는 말로 치부될 만큼 단순하지 않다.\n이는 과거의 중상 사건과 관련이 있는지도 모른다.안타깝게도 GRA 데이터베이스에 대한 관리가 워낙 엄격해 정상에게 특별히 신청해도 불필요하다며 열람이 거부된다.\n그러나 정상들은 언젠가 그들이 직접 진상을 말할 것이라는 점은 인정했다.\n그날이 언제냐?"
,"Agstory","Agstory_content_101103","もちろん、ブルーにもやんちゃな一面がある。普段は他のやんちゃなメンバーの面倒を見ているが、ブルーにやんちゃな一面がないわけではない。\nブルーも幼いボブキャット小隊のメンバーの中で少し年上なだけである。時々いたずらをして他の人をからかったり、ベッドの上でダラダラして訓練に行きたくないこともある。\nすみません、さっきお姉さんみたいって言ってた？忘れてください。","물론 블루에도 장난스러운 면이 있다.평소에는 다른 장난꾸러기 멤버를 돌보지만 파란색이 완고한 면이 없지는 않다.\n블루도 어린 밥캣 소대 멤버 중 약간 나이가 많을 뿐이다.가끔 장난을 쳐서 다른 사람을 놀리거나 침대 위에서 질질 끌며 훈련하러 가기 싫을 때도 있다.\n죄송해요, 아까 언니 같다고 했나?잊어주세요."
,"Agstory","Agstory_content_101104","ブルーはたい焼きに夢中だ。不完全な統計によると、ユニオン艦隊で販売されているタイ焼きのほとんどがブルーのお腹の中に入っているようだ。ブルーにとって、三食たい焼きでもまったく問題ない。\nブルーも時々他のメンバーのいたずらに腹を立てることがある。そんな時はたい焼きをあげれば許してくれる。","블루는 붕어빵에 정신이 팔려있다.불완전한 통계에 따르면 유니언 함대에서 판매되는 붕어빵은 대부분 푸른색 뱃속에 들어 있는 것으로 알려졌다.블루에게는 삼시세끼 붕어빵도 문제없다.\n블루도 종종 다른 멤버들의 장난에 화를 낼 때가 있다.그럴 때는 붕어빵 주면 용서해줘."
,"Agstory","Agstory_content_101201","シルビアはオートルナ衛星都市の上級貴族階級の出身で、少し調べただけで彼女のとんでもないハイクラスの家族とオートルナ女王との関係が密接であることが分かる。シルビアは幼い頃から女王の助手、護衛となることが目標で、AG騎士団計画の始動と共に、彼女も自然とコード01の騎士となった。\nよくGRAのAGから、シルビアは「不適切な場面でプロパガンダを行う」とクレームが上がっている。実は彼女は政治には興味がなく、ただより多くの人に女王の恩恵を受けてほしいと思っているだけである。","실비아는 오트루나 위성도시의 상급귀족계급 출신으로 조금만 조사해도 그녀의 엉뚱한 하이클래스 가족과 오트루나 여왕과의 관계가 밀접함을 알 수 있다.실비아는 어려서부터 여왕의 조수, 호위가 되는 것이 목표이며 AG기사단 계획의 시동과 함께 그녀도 자연스럽게 코드01의 기사가 되었다.\n자주 GRA의 AG로부터, 실비아는 「부적절한 장면에서 선전한다」라고 클레임이 오르고 있다.사실 그녀는 정치에는 관심이 없고 단지 더 많은 사람들이 여왕의 혜택을 받기를 바랄 뿐이다."
,"Agstory","Agstory_content_101202","オートルナ女王はシルビアにとって主君であるだけでなく、一番の友人、共に成長してきた幼馴染でもある。女王が王位を継承してオートルナの統治者になっても、シルビアの彼女に対する態度は変わらず、たまに親密過ぎる越権行為をしてしまうことも。\n女王に対する忠誠、友情、様々な感情が入り交じり、シルビアにとって女王は心の支えのような存在。元気がない時、女王と一緒に写った写真を見るだけで元気になる。","오트루나 여왕은 실비아에게 주군일 뿐만 아니라 가장 절친한 친구, 함께 성장한 소꿉친구이기도 하다.여왕이 왕위를 계승해 오트루나의 통치자가 되어도, 실비아의 그녀를 대하는 태도는 변함없고, 가끔 너무 친밀한 월권 행위를 해 버리기도 한다.\n여왕에 대한 충성, 우정, 갖가지 감정이 뒤섞여 실비아에게 여왕은 마음의 버팀목과 같은 존재.힘이 없을 때 여왕과 함께 찍힌 사진만 봐도 힘이 난다."
,"Agstory","Agstory_content_101203","シルビアはかつてオートルナの騎士長の一人、「ロサ・ナイト」イザベルに対して嫉妬や敵意を抱き、ちょっとした衝突や摩擦が起きたことも。その後女王が彼女に二人の友情は変わらないとなだめてやっと事が収まった。とはいえ、彼女は自分が騎士長になれない事に対して納得できず、幸いイザベルはこの事をまったく気にしていない。\n今のシルビアのケンカ相手は「カレンデュラ・ナイト」シャーロッテのみ。","실비아는 과거 오트루나의 기사장 중 한 명인 로사 나이트 이사벨에 대해 질투와 적의를 품어 약간의 충돌과 마찰이 빚어지기도 했다.그 후 여왕이 그녀에게 둘의 우정은 변하지 않을 것이라고 달래 겨우 일이 수습됐다.하지만 그녀는 자신이 기사장이 될 수 없는 것에 대해 납득하지 못했고, 다행히 이사벨은 이에 대해 전혀 개의치 않는다.\n현재 실비아의 싸움 상대는 카렌듈라 나이트 샬롯데뿐."
,"Agstory","Agstory_content_101204","シルビアと知り合ったばかりの人は、このプライドが高い貴族がおとなしく指揮に従い、GRAのメンバーと同じ艦隊で何のもめ事もなく生活できるとは想像しがたいかもしれない。\nでも実際は、彼女に気に入られるのはとても簡単だ。彼女が女王の高貴さや上品さについて話すのを辛抱強く聞いて、時々話を合わせるだけで、善意や友情を惜しまず与えてくれる。\nこれに対して、シャーロッテはよく彼女の単純さに文句を言い、シルビアは女王の魅力を軽んじていると思い、結局また騎士同士の決闘を始めてしまう。","실비아를 알게 된 지 얼마 안 된 사람은, 이 프라이드가 높은 귀족이 얌전히 지휘에 따라, GRA의 멤버와 같은 함대에서 아무런 마찰 없이 생활할 수 있다고는 상상하기 어려울지도 모른다.\n하지만 실제로는 그녀의 마음에 들기가 아주 쉽다.그는 여왕의 고귀함이나 품위 있는 말을 참을성 있게 듣고 이따금 말을 맞춰주는 것만으로 선의나 우정을 아끼지 않고 준다.\n이에 샤롯데는 곧잘 그의 단순성을 불평하고 실비아는 여왕의 매력을 얕잡아본다는 생각에 결국 다시 기사끼리의 결투를 시작하고 만다."
,"Agstory","Agstory_content_101205","何年も前のある貴族の集まりで、幼いシルビアは煩わしいテーブルマナーにうんざりして、こっそり抜け出しワイン貯蔵室に行った。運悪く、お酒を取りに行った彼女の父親にでくわし、行儀の悪さに対する罰として彼女はワイン貯蔵室に閉じ込められた。\n彼女が酒樽を見つめながら声をあげて泣いていると、ドアがそっと開き、同じ少女の女王がドアの隙間から体を半分出した。その瞬間、女王はシルビアの永遠の主君になった。\nこの話はシルビアが酔った時に聞いた話で、1時間の内にこの話を4回も繰り返し、シャーロッテが彼女をベッドに押し込むとやっと終わった。","몇 년 전의 한 귀족 모임에서 어린 실비아는 성가신 테이블 매너가 지겨워 몰래 빠져나와 와인 저장실로 갔다.운 나쁘게도 술을 가지러 간 그녀의 아버지와 마주쳤고, 버릇없는 행동에 대한 벌로 그녀는 포도주 저장실에 갇혔다.\n그가 술통을 바라보며 소리내어 울고 있는데 문이 살며시 열렸고 같은 소녀 여왕이 문틈으로 몸을 반쯤 내밀었다.그 순간 여왕은 실비아의 영원한 주군이 됐다.\n이 이야기는 실비아가 술에 취했을 때 들었던 얘기로 한 시간 안에 이 얘기를 네 번이나 반복했고 샬롯데가 그를 침대에 처넣자 비로소 끝났다."
,"Agstory","Agstory_content_101404","スイーツに対するこだわりはまさに沼にはまったレベル。空挺師団にいた間、戦績と引き換えにおやつを手に入れたほどである。もしウィニーを怒らせてしまったら、マカロンで機嫌をとってみるといいだろう。\nだが、ウィニーをはよっぽどの事がなければ怒らない——例えば彼女の許可なく彼女の髪の毛をいじるとか？それはきちんと謝らなければならない。","스윗츠에 대한 고집은 확실히 늪에 빠진 레벨.공정사단에 있는 동안 전적을 대신하여 간식을 구했을 정도이다.만약 위니를 화나게 만든다면 마카롱으로 기분을 맞춰보는 것도 좋을 것이다.\n하지만 위니는 웬만한 일이 아니면 화를 내지 않는다 -- 예를 들어 그녀의 허락없이 그녀의 머리카락을 만진다던가?그건 제대로 사과하지 않으면 안돼."
,"Agstory","Agstory_content_101405","スイーツはウィニーにとって特別な意味がある。それは彼女の頭の中の最も奥にある記憶。故郷に関する甘く素敵な記憶。\n傀儡戦争のせいで故郷はもはや存在しないが傀儡戦争によってウィニーの記憶の中の故郷が色あせることはない。\nウィニーは表には出さないが、きっと傀儡戦争が早く終わり、一日も早く故郷が再建されることを願っているはず。","스위트는 위니에게 특별한 의미가 있다.그것은 그녀의 머릿속 가장 깊은 곳에 있는 기억.고향에 관한 달콤하고 멋진 기억.\n괴뢰전쟁 때문에 고향이 더는 존재하지 않지만 괴뢰전쟁으로 인해 위니의 기억 속의 고향이 퇴색되지는 않는다.\n위니는 겉으로 드러내지는 않지만 분명 괴뢰전쟁이 빨리 끝나 하루빨리 고향이 재건되기를 바라고 있을 것이다."
,"Agstory","Agstory_content_101601","フェーディはGRA軍のある作戦の中で偶然発見された生存者で、戦争の影響を受け、彼女の体は化学兵器に蝕まれていた。そして生き残るため、フェーディはGRAの全身改造手術を受けた。\nこの成功率が決して高くない手術は神の加護を受け、フェーディの改造は大成功した。また、その手術の経験は後のスパイダー・サービスの計画の礎にもなった。","페이디는 GRA군의 한 작전 속에서 우연히 발견된 생존자로 전쟁의 영향을 받아 그의 몸은 화학무기에 좀먹었다.그리고 살아남기 위해 페이디는 GRA의 전신 개조 수술을 받았다.\n이 성공률이 결코 높지 않은 수술은 신의 가호를 받았고, 페이디의 개조는 대성공했다.수술 경험은 나중에 스파이더 서비스 계획의 초석이 되기도 했다."
,"Agstory","Agstory_content_101602","フェーディは自らの境遇を嘆くことなく、逆に自分を生かし、改造手術を施してくれたことに感謝し、GRAに与えてもらった2度目のチャンスをとても大切にしている。\n普段フェーディはとてもポジティブで明るく、彼女の過去などまったく想像できない。","페이디는 자신의 처지를 한탄하지 않고, 반대로 자신을 살려, 개조 수술을 시행해 준 것에 감사하며, GRA가 준 두 번째 기회를 매우 소중히 여기고 있다.\n평소 페이디는 매우 긍정적이고 밝아서 그녀의 과거는 전혀 상상할 수 없다."
,"Agstory","Agstory_content_101603","スパイダー・サービスの他のメンバーと同様、放熱不良のせいでアイスクリームが大好き。スパイダー・サービスはよくアイスクリームに関するイベントを開催している。\n当然、アイスクリームを食べる事においてスパイダー・サービスに引けを取らないAGは高発熱型のAGくらいだろう。\nちなみに、フェーディは4回連続アイスクリームの大食いチャンピオンを獲得している。","스파이더 서비스 멤버들과 마찬가지로 방열불량 때문에 아이스크림을 무척 좋아한다.스파이더 서비스는 자주 아이스크림에 관한 이벤트를 개최하고 있다.\n당연히, 아이스크림을 먹는 것에 대해 스파이더·서비스에 뒤지지 않는 AG는 고발열형의 AG정도일 것이다.\n덧붙여서, 페이디는 4회 연속 아이스크림의 대식가 챔피언을 획득했다."
,"Agstory","Agstory_content_101604","スパイダー・サービスの中で、多くのメンバーがフェーディと同じような目にあっている。戦争のせいで肉体に深刻なダメージを受け、高度な義肢化の改造を受けざるを得なくなってしまった。\nこの機械の体で自分を生まれ変わらせることに対して、スパイダー・サービス内部で考え方がそれぞれ違う。でも彼女たちの間で争いが起きることは滅多になく、性格がまったく合わなくても、みんな相手を受け入れることを選択する。\n彼女たちは同じ生死の境を渡り歩いてきた仲間で、この点において、スパイダー・サービスには他の小隊には理解できない特別な友情がある。","스파이더 서비스 가운데 많은 구성원이 페이디와 곤욕을 치르고 있다.전쟁 때문에 육체에 심각한 손상을 입고 고도의 의지화 개조를 받지 않을 수 없게 되어 버렸다.\n이 기계의 몸으로 자신을 다시 태어나게 하는 것에 대해 스파이더 서비스 내부에서 생각이 다르다.그렇지만 그녀들 사이에 다툼이 일어나는 일은 좀처럼 없고, 성격이 전혀 맞지 않아도 모두 상대를 받아들이기를 선택한다.\n이들은 같은 사경을 헤쳐온 동료들로 이 점에서 스파이더 서비스에는 다른 소대가 이해할 수 없는 특별한 우정이 있다."
,"Agstory","Agstory_content_101701","ダンミル特別派遣隊で主に潜入調査と後方の潜入を担当する隊員。\n冷淡で人間嫌い。仲間に対しても自分の考えをほとんど話さない。多くの人が、オネアンの偵察機「にゃん丸」の表情は彼女よりもよっぽど豊かだと言っている。\nそのため、オネアンに対しては特に気遣いと世話が必要で、普段の他のAGのような接し方ではダメだ。「適度な距離感を把握するように」。これは派遣隊の隊長ネイサからのアドバイスである。","던밀 특별파견대에서 주로 잠입조사와 후방 잠입을 담당하는 대원.\n냉담하고 인간 혐오.동료에 대해서도 자기 생각을 거의 말하지 않는다.많은 사람들이 오네안의 정찰기 냥마루의 표정은 그녀보다 훨씬 풍부하다고 말한다.\n그 때문에, 오네안에 대해서는 특히 배려와 세화가 필요하고, 평상시의 다른 AG와 같은 접하는 방식으로는 안된다.'적당한 거리감을 파악하라'. 이는 파견대 대장 네이사의 조언이다."
