Confirmed,Source,KOR
,"“コンドル”","“곤돌”"
,"アイビー","아이비"
,"アカシア","아카시아"
,"アトラス","아틀라스"
,"アリス","앨리스"
,"アルマ","아루마"
,"アンジェリカ","안제리카"
,"アンディ","안디"
,"イサベル","이사벨"
,"イザベル","이자벨"
,"イシム","이시무"
,"イスム","이스무"
,"イベリス","이베리스"
,"ウィニー","위니"
,"ウサギ耳型のレシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"ウサギ耳型レシーバーを装着したAG","토끼 귀형 리시버를 장착한 AG"
,"エリカ","에리카"
,"オネアン","오네안"
,"オートルナの通信員","오토루나 통신원"
,"オートルナの騎士達","오트루나 기사들"
,"オートルナ放送","오토루나 방송"
,"カペラ","카펠라"
,"カペラ&ニオ","카펠라&니오"
,"カペラ(ニオ？ゼロヨン？)","카펠라 (니오? 제로연?)"
,"カラスの外見のAG","까마귀 외모의 AG"
,"カロライン","카롤라인"
,"カンナ","칸나"
,"キキ","키키"
,"キキ、","키키,"
,"キャシー","캐시"
,"クイン","퀸"
,"クヌーズ","쿠누즈"
,"クラリス","쿠라리스"
,"クラークオクト","크라크옥트"
,"クリーム","크림"
,"クリームの母親","크림 어머니"
,"クリームの父親","크림 아버지"
,"グリア","구리아"
,"グレー","그레이"
,"グレース","그레이스"
,"ケイティ","케이티"
,"ケンタウルス型傀儡","켄타우루스형 괴뢰"
,"コフィントーチャー","코핀토챠"
,"コラックス","코랏쿠스"
,"コンドル","콘도르"
,"コンドルの記憶の中の研究員","콘도르의 기억 속의 연구원"
,"ゴヤ","고야"
,"ゴースト","고스트"
,"サカブラ","사카부라"
,"システム","시스템"
,"シャーロッテ","샤롯테"
,"シリウス","시리우스"
,"シリウス&モリス","시리우스&모리스"
,"シルビア","실비아"
,"シルビア(米尔维斯→西尔维娅のミスタイプ？)","실비아(美 斯斯→西 シル の의 오형?)"
,"シンディ","신디"
,"ジェシー","제시"
,"スリエル","스리에루"
,"セルリアン","세루리안"
,"ゼロヨン","제로연"
,"ゼロヨン＆ニオ","제로연&니오"
,"ソニア","소니아"
,"タカの外見のAG","매의 외모를 가진 AG"
,"チェーン","체인"
,"チェーンソーを持ったAG","전기톱을 가진 AG"
,"ティアンテ","티안테"
,"ティノノ","티노노"
,"ティミー","티미"
,"テスト","테스트"
,"テナック市の民衆","테낙시의 민중"
,"テナック市民","테낙 시민"
,"ディーン","딘"
,"デラ","델라"
,"トイフェル","토이헤루"
,"トニー","토니"
,"トニー＆アンディ","토니&앤디"
,"トニー＆アンディ＆メル","토니&앤디&멜"
,"トニー(レラ？)","토니(렐라?)"
,"ニオ","니오"
,"ニオ＆ゼロヨン","니오&제로욘"
,"ニオ&メル&レラ&ゼロヨン","니오&멜&렐라&제로연"
,"ニオ&レラ","니오&렐라"
,"ニオ(指揮官？)","니오 (지휘관?)"
,"ニナ","니나"
,"ネイサ","네이사"
,"ネイサ―","네이서"
,"ネモフィラ","네모필라"
,"ハスター","하스타"
,"ハーピスト","하삐스토"
,"パヴォニス","파보니스"
,"ヒアリン","히아린"
,"ビクトリア","빅토리아"
,"ピエロのAG","어릿광대의 AG"
,"ファンタム","한타무"
,"フィル","히루"
,"フィーディ","피디"
,"フィービィー","피비"
,"フィービー","피비"
,"フゥライ","후라이"
,"フゥライ&シンディ","후라이&신디"
,"フェーディ","페이디"
,"フォクシ","폭시"
,"フォーレンナイト","포렌나이트"
,"フロンティアの重装型AG","프런티어 중장형 AG"
,"フロンティアのAG","프런티어의 AG."
,"フロンティアイーグル","프런티어이글"
,"ブルー","블루"
,"ベニー","베니"
,"ベルベナ","베르베나"
,"ペペ","뻬뻬"
,"ペレ","뻬레"
,"マルゴット","마루곳토"
,"マーチ","마치"
,"ミシェル","미셀"
,"ミルヴァス","미루바스"
,"メコ","메코"
,"メル","메루"
,"メル＆アンディ","메일&앤디"
,"モリス","모리스"
,"ユイ","유이"
,"ユニオンのAG","유니온의 AG"
,"ユニオンのAG達","유니온의 AG들"
,"リサ・オートルナ","리사 오트루나"
,"リディア","리디아"
,"リード","리드"
,"レイレイ","레이레이"
,"レイヴン","레이븐"
,"レウィシア","레이시아"
,"レナス","레나스"
,"レラ","레라"
,"レラ(ニオ？)","렐라(니오?)"
,"ロイズ","로이즈"
,"ロコ","로코"
,"ロベリア","로베리아"
,"ローズマリー","로즈마리"
,"ヴァレリア","발레리아"
,"上級傀儡師","상급 괴뢰사"
,"人々","사람들"
,"修羅","수라"
,"傀儡化した機械","괴뢰화한 기계"
,"傀儡化した重装型AG","괴뢰화한 중장형 AG"
,"傀儡化したAG","괴뢰화한 AG"
,"傀儡化AG","괴뢰화 AG"
,"傀儡師となったコンドル","괴뢰사가 된 콘도르"
,"全員","전원"
,"全身漆黒の傀儡師","전신 칠흑의 괴뢰사."
,"兵士","병사"
,"出雲","이즈모"
,"別の通天港の住民","다른 通天항의 주민"
,"別のAADのAG","다른 AAD의 AG"
,"加工された女の声","세련된 여자 목소리"
,"北斗","호크토"
,"医療員","의료원"
,"医長","의장."
,"千歳","치토세"
,"千羽","치와"
,"回答者","회답자"
,"女性","여성"
,"女性研究員","여성 연구원"
,"実験スタッフ","실험 스태프"
,"小さい頃のクリーム","어린 시절의 크림"
,"少女","소녀"
,"少女の父親","소녀의 아버지"
,"巨大な機械の腕を持つAG","거대한 기계의 팔을 가진 AG"
,"忍","시노부"
,"成熟した女性の声？","성숙한 여자 목소리?"
,"指揮官","지휘관"
,"明るい隊員","명랑한 대원"
,"東雲","시노노모"
,"機械の触手を弄るAG","기계의 촉수를 만지작거리는 AG"
,"正体不明のAG","정체 불명의 AG"
,"民衆","민중"
,"浮浪者","부랑자"
,"独りぼっちの少女","외톨이 소녀"
,"瑠璃","루리"
,"男性","남성"
,"研究員A","연구원 A"
,"研究員B","연구원 B"
,"研究員C","연구원 C"
,"研究員D","연구원D"
,"研究員E","연구원 %"
,"神楽","카그라"
,"神楽の声","神楽의 소리"
,"神秘少女","신비 소녀"
,"端末","단말"
,"第16号調査報告","제16호 조사보고"
,"第48中隊AG","48중대 AG"
,"義肢を見つめる少女","의족을 바라보는 소녀"
,"記録係","기록계"
,"資料端末","자료 단말"
,"通信A","통신 A"
,"通信B","통신 B"
,"通信C","통신 C"
,"通天港の住民","通天항의 주민"
,"連邦の白い悪魔？","연방의 하얀 악마?"
,"重型骨格を装着したAG","중형 골격을 장착한 AG"
,"銀河","은하"
,"首脳と呼ばれる少女","수뇌라고 불리는 소녀"
,"AADのAG","AAD의 AG"
