Confirmed,Source,KOR
,"……ありがとう、ニオ。","……고마워, 니오."
,"……ダメだ、私には私の判断がある。","……안돼, 나에게는 내 판단이 있어."
,"……気付いてたの。","…… 눈치채고 있었어."
,"■■·■■をあきらめる","■■·■■을 포기하다"
,"「オートランド号」の航行距離は0なんだね","오토랜드호의 항행거리는 0이구나"
,"「ユニオン」は特殊な艦隊だと聞いたけど。","'유니온'이 특수한 함대라고 들었는데"
,"「被験体4号」とフロンティアに間に何かあるのかな？","'피험체 4호'와 프런티어 사이에 뭐가 있나?"
,"ああ……他に……その権限のある者はいないからね","아아……달리…그 밖에…그 권한이 있는 사람은 없으니까."
,"ああ。","아아."
,"あの、なんだか我々をじっと見詰めている視線を感じるんだけど……","왠지 우리를 응시하고 있는 시선을 느끼는데……"
,"ありがとう……カペラ。","고마워요…… 카펠라."
,"いいでしょう、「ユニオン」も会議に参加します。","좋습니다, “유니온”도 회의에 참석할 겁니다."
,"いいや、大丈夫だよ。","아니야, 괜찮아."
,"うん、はっきりとね。","응, 확실해."
,"え？私は君たちの感情の交流をもっと見ていたいんだけど。","어? 난 너희들의 감정 교류를 더 보고 싶은데."
,"こんなことをするなんて思いもしなかったな……","이런 짓을 할줄은 생각도 못했네..."
,"こんな突然にか！？","이렇게 갑자기?"
,"こんな見え見えの釣り針に食いつく気か？","이런 뻔한 낚싯바늘에 대들 생각이야?"
,"さあ、人類の反撃の時だ。","자, 인류의 반격 때다."
,"そうだ、と言ったら？","그렇다, 라고 말을 하면요?"
,"そうだね。どこかの島でも占領してのんびりしようか。","그래, 어느 섬이나 점령하고 한가로이 지낼까."
,"その時間に値する活躍を期待しているよ。","그 시간에 걸맞는 활약을 기대할게."
,"その言葉が招集結果に反映されますように。","그 말이 소집 결과에 반영되기를."
,"それが私と何の関係があるんだ？","그게 나랑 무슨 상관이야?"
,"ちょうどムースの生産具合でも見てくるよ。","딱 무스 생산 상태라도 보고 올게."
,"つまり……","즉……"
,"ではどうしてオートルナの貴族騎士が「ユニオン」の支援に？","그럼 어째서 오토루나의 귀족 기사가 '유니온'의 지원에?"
,"とにかく、ア……シルビアがあの“不明機”だったのか？","어쨌든, 아…실비아가 그 “불명기”였던가?"
,"どういうことだ、姉妹で仲違いか？","무슨 일이야, 자매끼리 이간질이야?"
,"どうしたんだ、その天ノ刃というのはそんなにおっかないのか？","어떻게 된 거야, 그 하늘의 칼날이라는 게 그렇게 무서운 거야?"
,"どうしたん？ミルヴァスが？","왜 그래? 밀버스가?"
,"どうして修羅の名前が出て来るんだ！？","어째서 아수라의 이름이 나오는거야!?"
,"どうやら戦わずには済まないみたいだな。","아무래도 싸우지 않고는 못 넘길 것 같군."
,"なぜ宇宙兵器を使用しないのですか？","왜 우주 무기를 사용하지 않나요?"
,"はぁ、次の展開が分かった気がするよ。","하아, 다음 전개를 알 것 같아."
,"まさかマッドサイエンティストの狂った実験だとか？","설마 매드 사이언티스트의 미친 실험이라던가?"
,"まさか裂缝章鱼もかつては……","설마 열반장수도 예전에는……"
,"また会ったね。","또 만났네."
,"もう一度首脳から託された任務を確認しよう。","다시 한번 정상으로부터 위임받은 임무를 확인하자."
