Confirmed,Id,Source,KOR
O,"1","「奥托露娜」：原本是用于宇宙实验的卫星，在数十年间逐渐扩建成庞大的卫星城市。地表爆发战争后，卫星城便成为了唯一一个绝对安全的地方。","「오토루나」：원래는 우주 실험용 위성이었지만, 수십 년 동안 거대한 위성 도시를 건설해 왔다.지표면 전쟁이 터지면서 위성도시가 절대적으로 안전한 유일한 곳이 됐다."
O,"2","「阵线联合」：傀儡战争爆发后，由地表国家组成的反傀儡国家联盟。超级AI「阿特拉斯」则作为阵线首脑，指挥着人类部队反击傀儡。","「전선연합」：괴뢰전쟁 발발 후 지표면 국가들로 구성된 반괴뢰국가연합.슈퍼 AI 아틀라스는 전선 수반으로서 인간군대의 괴뢰 반격을 지휘하고 있다."
O,"3","「鹰身女妖」：由首脑与阵线军高层主导并授权给旗下的研究组织，围绕“猛禽”这一概念，花费巨资研发的特殊系谱，除了拥有强大的对傀儡战斗力以外，还隐藏着某一特性。","「매신녀귀」：수뇌부와 전선군 수뇌부가 주도해 산하 연구조직에 권한을 부여하고 랩터라는 개념을 둘러싸고 막대한 비용을 들여 개발된 특수 계보에는 강력한 대괴뢰 전력 외에 어떤 특성이 숨어 있다."
O,"4","「奥托露娜骑士团」：以奥托露娜女王为中心组建的亲卫部队，下分“白银”“黑曜”两个骑士团，主要负责女王的安全，以及代为执行女王的意志。","「오토루나 기사단」：오토루나 여왕을 중심으로 결성된 친위부대로, '은' '흑요' 두 기사단을 나누며 여왕의 안전을 책임지고 여왕의 의지를 대신 수행한다."
O,"5","「AG」：全称「Artery Gear」，由人类开发的对傀儡兵器，经过义肢化改造和训练得获得不同的能力。\nAG对傀儡的「提线」有显著的免疫力，因此被广泛投入战场，逐步取代传统的兵器。","「AG」：풀네임 Artery Gear. 인류에 의해 개발된 대괴뢰 병기는 의지화를 거쳐 개조되고 훈련을 통해 서로 다른 능력을 얻는다.\nAG는 괴뢰의 제선에 대해 현저한 면역력을 가지고 있기 때문에 전쟁터에 광범위하게 투입되어 점차 전통적인 병기를 대체하게 된다."
O,"6","「AG」：全称「Artery Gear」，由人类开发的对傀儡兵器，经过义肢化改造和训练得获得不同的能力。\nAG对傀儡的「提线」有显著的免疫力，因此被广泛投入战场，逐步取代传统的兵器。","「AG」：풀네임 Artery Gear. 인류에 의해 개발된 대괴뢰 병기는 의지화를 거쳐 개조되고 훈련을 통해 서로 다른 능력을 얻는다.\nAG는 괴뢰의 제선에 대해 현저한 면역력을 가지고 있기 때문에 전쟁터에 광범위하게 투입되어 점차 전통적인 병기를 대체하게 된다."
O,"7","「傀儡」：2143年突然出现在地球的残暴生物群，极具攻击性和侵略性，它们不断感染以及侵蚀地球的生物，人类在和它们的对抗中付出了巨大的代价。","「괴뢰」：2143년 갑자기 지구에 나타난 잔학한 생물 무리는 매우 공격적이고 침략적이며, 끊임없이 지구의 생물들을 감염시키고 침식시켰습니다. 인류는 이들과 대항하는 중에 막대한 대가를 치렀습니다."
O,"8","「七武士」：原本是阵线的AG，现在她们从阵线中脱离，不受任何势力的控制和指挥，自发行动，长期驻守在被阵线放弃的城市附近。","「7무사」：원래는 전선의 AG였지만, 현재는 전선에서 이탈하여, 어떠한 세력의 통제와 지휘를 받지 않고, 자발적으로 행동하여 전선이 포기한 도시 부근에 오랫동안 주둔하고 있다."
O,"9","「丽萨·奥托露娜」：远离地表，只在卫星城中繁衍生活的人类后裔，现在她成为了奥托露娜卫星城的第二代女王。","「리사 오토루나」：지표면과 거리가 먼 위성도시에서만 번성했던 인간의 후예. 이제 그녀는 오토루나 위성도시의 2대 여왕이 된다."
O,"10","「燃风矿团」：不受任何势力管理的一群AG，聚集在荒废的城区附近，主要活动是搜集战场废料、抢劫小部分物资并带去黑市倒卖，或者作为佣兵团伙接取一些非法的任务。","「연풍광단」：어떠한 세력 관리도 받지 않는 AG들이 황폐한 도시 부근에 모여있다. 주요 활동은 전쟁터의 폐물을 수집하고, 일부 물자를 강탈하고, 암시장에 가져가 되팔거나, 용병집단으로서 불법적인 임무를 받아내는 것이다."
