Confirmed,Source,KOR
O,"“康德尔”","“콘델”"
O,"「沙漠兔」（暂定）","「사막토끼」 (잠정)"
O,"「白兔」僚机","「하얀토끼」 호위기"
O,"上级傀儡","상급 괴뢰"
O,"上级傀儡师","상급 괴뢰사단"
O,"东云","시노노메"
,"丽姬特","리히터"
O,"丽萨·奥托露娜","리사·오토루나"
O,"乌鸦外表的AG","까마귀 겉모습의 AG"
,"人体模型？","인체형모델?"
O,"人马型傀儡","인마형 괴뢰"
,"伊丝姆","이심"
O,"伊莎贝尔","이자벨"
O,"伊贝丽丝","이베리스"
O,"众人","여러 사람"
O,"佩佩","페페"
O,"佩蕾","페레"
O,"修罗","수라"
O,"傀儡","괴뢰"
O,"傀儡化的机械","괴뢰화된 기계"
O,"傀儡化的重装型AG","괴뢰화된 중장형 AG"
O,"傀儡化的AG","괴뢰화된 AG"
O,"傀儡化AG","괴뢰화AG"
O,"傀儡师","괴뢰술사"
O,"克拉丽丝","클라리스"
O,"克罗娅斯","크로야스"
O,"全员","전원"
O,"全身漆黑的傀儡","칠흑같은 괴뢰"
O,"全身漆黑的傀儡师","칠흑같은 괴뢰군"
O,"兴致全无的听众","흥미가 전혀 없는 청중"
O,"凯蒂","케이티"
O,"出云","이즈모"
O,"北斗","호쿠토"
O,"医护员","의료진"
O,"医护长","의료장"
O,"千岁","치토세"
O,"千早","치하야"
O,"千羽","센바"
O,"卡佩拉","카펠라"
O,"卡佩拉&妮欧","카펠라&니오"
O,"卡罗琳","캐롤라인"
O,"卡西","캐시"
O,"厄里芬","에리펜"
O,"变成傀儡师的康德尔","괴뢰로 변한 콘델"
O,"古蕾","그레이"
O,"另一位空降师团的AG","또 다른 공수사단의 AG"
O,"另一位通天港的居民","또 다른 통천항의 주민"
O,"可琳姆","크림"
O,"可琳姆的母亲","크림의 어머니"
O,"可琳姆的父亲","크림의 아버지"
O,"同学","동창"
O,"听曲犯困的听众","청곡에 지친 청중"
O,"回答者","응답자"
O,"堕落骑士","타락한 기사"
O,"塔纳赫市民","타나흐 시민"
O,"塔纳赫市民众","타나흐 시민군"
O,"士兵","병사"
O,"夏洛蒂","샤르롯"
O,"大量人体模型？","대량의 인체형모델?"
O,"奈莎","나이사"
O,"奈莫菲拉","네모필라"
O,"奎因","퀸"
O,"奥妮安","오니안"
O,"奥托露娜广播","오토루나 방송"
O,"奥托露娜的通讯员","오토루나의 통신원"
O,"奥托露娜的骑士们","오토루나의 기사들"
O,"奥托露娜通讯员","오토루나 통신원"
O,"女人","여자"
O,"女性研究员","여성 연구원"
O,"妮娜","니나"
O,"妮欧","니오"
O,"妮欧&梅尔&蕾拉&零四","니오&멜&레이라&04"
O,"妮欧&零四","니오&04"
O,"娅诗塔","아시타"
O,"安杰丽卡","안젤리카"
O,"安迪","앤디"
O,"实验人员","실험 인원"
O,"小丑模样的AG","어릿광대 모양의 AG"
O,"小女孩","소녀"
O,"小女孩的父亲","소녀의 아버지"
O,"小托利","어린 토리"
O,"小时候的可琳姆","어릴 적 크림"
O,"小町","코마치"
O,"尤伊","유이"
O,"已经傀儡化的克拉丽丝","이미 괴뢰화된 클라리스"
,"布瑞尔","브릴"
,"布瑞尔&霍莉","브릴&홀리"
,"布瑞尔&霍莉&索菲亚","브릴&홀리&소피아"
O,"布鲁","브루"
O,"希尔维娅","실비아"
O,"希尔雷安","세르리안"
O,"希琳","시린"
O,"希里乌斯","시리우스"
O,"希里乌斯&莫丽丝","시리우스&모리스"
O,"帕芙妮丝","파프니스"
O,"年轻气盛的男人","젊고 의기가 왕성한 남자"
O,"幽灵","스펙터"
O,"库努特","쿠누트"
O,"康得尔","콘델"
O,"康德尔","콘델"
O,"康德尔记忆中的研究员","콘델이 기억하는 연구원"
O,"康纳","칸나"
O,"开朗的军官","명랑한 장교"
O,"弗莱","프라이"
O,"弗莱&辛迪","프라이&신디"
O,"德拉","델라"
O,"德拉&尤伊","델라&유이"
O,"忍","시노부"
O,"忧心忡忡的听众","시름에 잠긴 청중"
O,"恐惧傀儡的人","괴뢰를 무서워하는 사람"
O,"惊慌的女性","당황한 여성"
O,"感觉新奇的听众","신기해 하는 청중"
O,"戈雅","고야"
O,"成熟的女声？","성숙한 여자 목소리?"
O,"成熟的女性？","성숙한 여성?"
O,"戴恩","데인"
O,"戴恩、舞华","데인, 마이카"
O,"戴着兔耳接收器的AG","토끼귀모양 수신기를 쓴 AG"
O,"托妮","토니"
O,"托妮&安迪","토니&앤디"
O,"托妮&安迪&梅尔","토니&앤디&멜"
O,"拿着电锯的AG","전기톱을 든 AG"
O,"指挥官","지휘관"
O,"摆弄机械触手的AG","기계 촉수를 만지는 AG"
O,"放松下来的听众","느슨해진 청중"
O,"有着巨大机械臂的AG","거대 로봇팔을 가진 AG"
O,"杰西","제시"
O,"杰西、戴恩","제시, 데인"
O,"杰西、舞华","제시, 마이카"
O,"某阵线军官","모 전선 장교"
O,"某阵线小队队员","모 전선 소대 대원"
O,"柰莎","나이사"
O,"格蕾丝","그레이스"
O,"格里尔","그리아"
O,"桃香","토우카"
O,"梅可","메코"
O,"梅尔","멜"
O,"梅尔&安迪","멜&앤디"
O,"樱之魔法少女？","벚꽃의 마법소녀?"
O,"洛可","로코"
O,"洛贝莉亚","로벨리아"
O,"流浪者","유랑자"
O,"流浪者的孩子","유랑자의 아이"
O,"流浪者的孩子们","유랑자의 아이들"
O,"流浪者的孩子A","유랑자의 아이A"
O,"流浪者的孩子B","유랑자의 아이 B"
O,"流浪者的孩子C","유랑자의 아이C"
O,"流浪者A","유랑자 A"
O,"流浪者B","유랑자 B"
O,"测试","테스트"
O,"温妮","위니"
O,"火之魔法少女？","불의 마법소녀?"
O,"焦虑的男性","초조한 남성"
O,"焦躁不安的女性","초조하고 불안한 여성"
O,"爱丽丝","앨리스"
O,"特斐尔","테파엘"
O,"玛奇","마키"
O,"玛格特","마르고트"
O,"琉璃","류리"
O,"琪琪","키키"
O,"瓦蕾莉亚","발레리아"
O,"男人","남자"
O,"看着义肢的少女","의족을 바라보는 소녀"
O,"研究员A","연구원 A"
O,"研究员B","연구원 B"
O,"研究员C","연구원 C"
O,"研究员D","연구원 D"
O,"研究员E","연구원 %"
O,"神乐","카구라"
O,"神乐的声音","카구라의 목소리"
O,"神秘少女","신비한 소녀"
O,"稍有品味的听众","조금 품위 있는 청중"
O,"空降师团的AG","공수사단의 AG"
O,"穿戴重型骨骼的AG","무거운 골격의 AG"
O,"竖琴师","하프레이터"
O,"第16号调查报告","조사보고서 제16호"
O,"第48军AG们","제48군 AG들"
O,"篝","카가리"
O,"米尔维斯","밀비스"
