Confirmed,Source,KOR
,"……不行，我有自己的判断。","...안돼요.내 나름의 판단이 있어요."
,"……我已经习惯了。","…나는 이미 익숙해졌다."
,"……抱歉。","…죄송합니다."
,"……被你发现了。","…너에게 들켰다."
,"……谢谢你，妮欧。","…고마워요,니오."
,"不会的，没关系。","아니야, 괜찮아."
,"不用了","됐어요."
,"不用你亲自去，你搬点救兵来就行。","네가 직접 갈 필요 없어, 네가 구원병을 좀 옮겨오면 돼."
,"不用回来，专注于现在的战斗。","돌아올 필요 없이 현재의 전투에 전념하라."
,"不知道你在说什么。","무슨 말을 하는지 모르겠다."
,"不祥预感应验得真快啊。","불길한 예감이 정말 빨리 들리네."
,"不，我们有空。","아니오, 우리 시간 있어요."
,"为了自己守护的东西……","내가 지키는 것을 위해..."
,"为了那名战士——","그 전사를 위하여——"
,"为什么不使用天基武器定点打击？","왜 천기무기를 사용해서 거점 타격하지 않습니까?"
,"为什么要在这里喊修罗？！","왜 여기서 수라를 불러?!"
,"之后你们要一起加入「纽带」吗？","이후에 당신들은 함께 유대를 넣어야 합니까?"
,"也就是说……","그러니까..."
,"也就是说，“4号实验体”这名傀儡师和阵线有关吧？","'4호 실험체'라는 괴뢰사단이 전선과 관련돼 있다는 얘기죠?"
,"事情结束后我会说清楚的。","일이 끝난 후에 나는 분명히 말하겠다."
,"人好多啊，我要记不住了。","사람이 많아서 기억 못하겠어요."
,"人总有一死，我之后会为你报仇的。","사람이 죽으면 나중에 복수할 거야."
,"伊莎贝尔，停下。","이자벨, 멈춰라."
,"会不会是卖家忘了把红酒装进去？","혹시 판매자가 와인을 넣는 것을 잊은 것은 아닐까?"
,"但是，我拒绝。","하지만, 나는 거절한다."
,"作为救你的报酬，你能答应我的一个请求吗？比如说……","너를 구하는 대가로 너는 나의 요구를 들어줄 수 있니?예를 들면..."
,"你也没打中嘛，难道你和我一样笨吗？","너도 맞추지 못했잖아, 설마 너도 나처럼 미련하단 말이냐?"
,"你们为什么不和我们走呢？","너희는 왜 우리와 가지 않니?"
,"你们小心别被拆散了。","너희들 해체되지 않도록 조심해라."
,"你们真的帮了很多忙。","당신들은 정말 많은 도움을 주었습니다."
,"你们竟然还有心电感应？","당신들은 뜻밖에도 심전 감응을 했습니까?"
,"你叹了好长一口气啊。","긴 한숨을 쉬셨군요."
,"你姓奥托露娜？","당신의 성은 오토루나입니까?"
,"你怎么不跟她们一起？","너는 왜 그녀들과 함께 있지 않니?"
,"你想说什么？别打哑谜。","무슨 말을 하고 싶으세요? 벙어리 냉가슴 앓지 마세요."
,"你愿意和我喝一杯，分享些有趣故事吗？","너는 나와 술을 한 잔 마시며 재미있는 이야기를 나누기를 원하니?"
