Confirmed,Id,Source,KOR
,"201009010","哈？","하?"
,"201009011","哈！不是吧千早，我们都豁出性命死斗一场了，你还这么天真吗？","하! 아니야, 천여 일전에 목숨을 걸고 싸웠는데, 너는 아직도 이렇게 순진한 거니?"
,"201009012","听好了，现在不是你们杀掉修罗，就是修罗杀掉你们，再拉整个高天原陪葬！","잘 들어라, 이제 너희가 수라를 죽이든지 아니면 수라가 너희를 죽이고 다시 고천원을 모조리 끌어다가 장사하라!"
,"201009013","这……","이게..."
,"201009014","怎会如此……","어떻게 이럴 수가..."
,"201009015","啊啊，你们真让修罗失望，还好把你叫过来了，对，就是你。","아아, 너희들 정말 수라를 실망시켰구나. 너를 불러서 다행이야. 그래, 바로 너야."
,"201009016","你一定见过无数变成怪物的伙伴了，对吧？虽然修罗的情况不一样，但你还是该杀就杀，绝不手软！","괴물이 된 친구들을 수없이 많이 보셨겠죠?비록 수라의 상황은 다르지만, 네가 죽여야 할 것은 죽여라, 결코 무디지 않아!"
,"201009017","就该这样啊，明白了吗，修罗的好姐姐好妹妹？","그래야지, 알겠어? 수라의 좋은 언니, 좋은 동생?"
,"201009018","来吧，修罗已经受伤了，不想再受伤的话，就趁修罗恢复之前把修罗解决掉吧！","자, 수라가 다쳤으니 더 이상 다치고 싶지 않다면 수라가 회복되기 전에 해결하자!"
,"201009019","……你说够了吗？","…너 충분히 말했어?"
,"201009020","哦？","흐음?"
,"201009021","哈哈，当然当然，轮到神乐了，不过你最好抓紧时间——","하하, 당연하지, 신락 차례지, 하지만 서두르는 게 좋아."
,"201009022","嘿！","어이!"
,"201009023","嘎啊？！！","까악?!!"
,"201009024","<color=#969696>神乐冷不丁地将刀柄抡到修罗的头顶上，这比手刀痛多了！</color>","<color=#969696>신이 느닷없이 칼자루를 수라의 머리 위로 휘둘렀으니, 이것은 손칼보다 훨씬 아프다.</color>"
,"201009025","你，你做什么啊，很痛哎！让修罗死个痛快不行吗！","너, 너 뭐 하는 거야, 많이 아프잖아!수라를 속시원하게 죽게 하면 안 되겠니!"
,"201009026","住口！满嘴又是杀又是死的，真烦人！","입 다물어! 입만 열면 죽기도 하고, 정말 짜증 나잖아!"
,"201009027","给我站好听着，你这净给人添麻烦的傻子，牛角尖怪物，脑袋空空的白头发！","서 있기만 좋아, 이 사람 폐만 끼치는 멍텅구리, 뿔 달린 괴물, 머리가 텅 빈 흰 머리야!"
,"201009028","呃，我们全都是白头发来着……","어, 우리 모두 흰머리였는데..."
,"201009029","嘘。","쉬, 쉬."
,"201009030","我不发怒你便以为我听不出来了？谎话精！什么不是你死就是我活的，你这不是控制得挺好的吗，还知道手下留情！","내가 화내지 않고 넌 내가 못 알아들었다고 생각하니?거짓말쟁이야! 네가 죽지 않으면 내가 산다는 거야. 너 이거 통제 잘하잖아. 봐줄 줄 알아!"
,"201009031","我早就发现了，即使痛苦得快要发疯，你也不会真正伤害你的姐妹——你只想自己寻死！","나는 이미 오래전부터, 비록 고통으로 미칠 것 같이 해도, 당신은 진정으로 당신의 자매에게 상처를 줄 수 없다는 것을 알았다, 당신은 스스로 죽음을 찾고 싶어!"
,"201009032","啊啊～","아아~"
,"201009033","好好好，是修罗输了，你说的都对！","좋아, 수라가 졌어, 네 말이 모두 맞아!"
,"201009034","所以呢，你们就这么放过修罗？就算修罗现在控制得住，最后也一定会发疯死掉，顺便把阿特拉斯在这儿留下的心血全给毁了，这可没骗你哦。","그래서, 너희는 수라를 그냥 두느냐?설사 수라가 지금 제어할 수 있다 하더라도, 결국에는 반드시 미치게 될 것이다, 아틀라스가 여기에서 남긴 심혈을 모두 망쳐버릴 것이다, 이것은 당신을 속이지 않았다."
