Confirmed,Id,Source,KOR
,"1","优先选取生命比例最低的目标","생명비율이 낮은 대상 선택"
,"2","优先选取生命比例最高的目标","생명비율이 높은 대상 선택"
,"3","优先选取最大生命值低的目标","최대생명치가 낮은 대상 선택"
,"4","优先选取最大生命值高的目标","최대생명치가  높은 대상 선택"
,"5","优先选取精英怪和首领","엘리트 및 보스를 먼저 선택"
,"6","优先选取克制属性的目标","제한된 속성 대상 선택"
,"7","优先选择不被克制属性的目标","제한되지 않은 속성 대상 선택"
,"8","优先选择攻击力高的目标","공격력이 높은 대상 선택"
,"9","优先选择行动条最靠前的目标","행동게이지가 높은 대상 선택"
,"10","优先选择行动条最靠后的目标","행동게이지가 낮은 대상 선택"
,"17","优先选择剩余冷却最长的角色","가장 오랫동안 냉각된 캐릭터 우선 선택"
,"1100","优先选择无属性的目标","속성이 없는 대상 선택"
,"1101","优先选择热熔属性的目标","열융합 속성 대상 선택"
,"1102","优先选择苍晶属性的目标","수정된 속성 대상 선택"
,"1103","优先选择电磁属性的目标","전자기 속성 대상 선택"
,"1201","优先选择1号位的目标","1번 자리 대상 선택"
,"1202","优先选择2号位的目标","2번 자리 대상 선택"
,"1203","优先选择3号位的目标","3번 자리 대상 선택"
,"1204","优先选择4号位的目标","4번 자리 대상 선택"
,"1401","优先选择腐蚀状态最多的目标","부식상태가 가장 많은 대상 선택"
,"1402","优先选择电击状态最多的目标","감전상태가 가장 많은 대상 선택"
,"1403","优先选择烧伤状态最多的目标","화상상태가 가장 많은 대상 선택"
,"1404","优先选择防御力下降状态的目标","방어력 저하 상태의 대상 선택"
,"1405","优先选择减速下降状态的目标","감속의 대상 선택"
,"1501","优先选择增益状态最少的目标","버프가 가장 적은 대상 선택"
,"1502","优先选择减益状态最少的目标","디버프가 가장 적은 대상 선택"
,"1601","优先选择增益状态最多的目标","버프가 가장 많은 대상 선택"
,"1602","优先选择减益状态最多的目标","디버프가 가장 많은 대상 선택"
,"15290101","优先选择竖琴师的诅咒状态最多的目标","하프의 저주가 가장 높은 대상 선택"
