Confirmed,Source,KOR
,"—章节结束—","— 챕터 종료 —"
,"“一惊一乍”……呃，真是惭愧，您所说的这个词语，确实很适合形容属下。","“기절 했어”... 어, 정말 부끄럽군요. 당신이 말한 말이 부하들을 묘사하기에 정말 적합합니다."
,"“上帝从未扮演过他的角色，因为让我从地狱回来的，是我破碎的灵魂。”","“하나님은 자신의 역할을 한 적이 없습니다. 왜냐하면 저를 지옥에서 데려온 것은 내 영혼이 깨 졌기 때문입니다.”"
,"“义勇仁礼诚名忠克”，这便是我们武士最重要的精神。","“정의, 용감, 자비, 예의, 정직, 충성”, 이것이 우리 사무라이의 가장 중요한 정신입니다."
,"“争强好胜”就是形容我这样的人，不对，这好像是个贬义词啊……","“경쟁력을 갖기 위해 노력한다”는 것은 나 같은 사람을 묘사하는 것입니다. 아니, 경멸적인 용어 인 것 같습니다 ..."
,"“二天刃”千岁，在此领教！","“Ertian Blade”치토세, 여기에서 배우기!"
,"“代理作战”可以根据您的需求进行详细设置，\n现在我们就来看一下吧！","“요원 전투”는 필요에 따라 세부적으로 설정할 수 있습니다.\n이제 살펴 보겠습니다!"
,"“以奥托露娜女王之名下令……”","“오토 루나 여왕의 이름으로 주문 ...”"
,"“军章”则可以用于在商店中兑换各种奖励。","“밀리터리 뱃지”를 사용하여 상점에서 다양한 보상을받을 수 있습니다."
,"“制式”助推引擎","“표준” 부스터 엔진"
,"“制式”复合装甲","“표준” 복합 장갑"
,"“制式”植入骨骼","“표준” 임플란트"
,"“制式”火力系统","“표준” 화력 시스템"
,"“制式”照准系统","“표준” 조준 시스템"
,"“制式”能源舱","“표준” 에너지 캐빈"
,"“勿忘你终有一死。”","“너도 죽는다는걸 잊지마.”"
,"“呷——！呷——！”尽管猫球们不像人类有着丰富的表情，但这些猫球干哑的机械音中却充满了对人类的希冀。“它们说自己饿了。”——某位不愿透露姓名的AG。","“Suck——! Suck——!”고양이 공은 인간처럼 풍부한 표현이 없지만,이 고양이 공의 건조하고 멍청한 기계 소리는 인간에 대한 희망으로 가득 차 있습니다. “그들은 배가 고프다 고 했어요.”-이름을 밝히지 말라고 한 AG."
,"“坦诚相见”真是一个危险的词语呀……没关系，你们不懂我的意思就算啦。","“솔직히 만나요”는 정말 위험한 단어입니다 ... 상관 없어요, 당신은 제가 무슨 말인지 이해하지 못합니다."
,"“大智若愚”","“위대한 지혜는 어리 석다”"
,"“大炮！”","“대포!”"
,"“天之刃”部队的最后一名成员，神乐看起来比其他队员更纤细柔弱，却能使用特制的“荒御魂”型半主动式纳米云雾散布装置，用以保护伙伴和辅助进攻，发挥着不可替代的作用。","“천국의 칼날”부대의 마지막 멤버 인 카구라는 다른 멤버들보다 더 날씬하고 약해 보이지만 특별한 “황량한 영혼”유형의 반 활성 나노 구름 확산 장치를 사용하여 파트너를 보호하고 공격을 지원할 수 있습니다. . 바꾸어 놓을 수없는 역할을한다."
,"“天之刃”部队的最后一名成员，神乐看起来比其他队员更纤细柔弱，却能使用特制的“荒御魂”型半主动式纳米云雾散布装置，用以保护伙伴和辅助进攻，发挥着不可替代的作用。除此之外，神乐体态优雅，能歌善舞，在战斗之外也深受同僚们的喜爱。","“천국의 칼날”부대의 마지막 멤버 인 카구라는 다른 멤버들보다 더 날씬하고 약해 보이지만 특별한 “황량한 영혼”유형의 반 활성 나노 구름 확산 장치를 사용하여 파트너를 보호하고 공격을 지원할 수 있습니다. . 바꾸어 놓을 수없는 역할을한다. 또한 카구라는 우아한 몸매를 가지고 있으며 노래와 춤을 출 수 있으며 전투 밖에서 동료들에게도 사랑 받고 있습니다."
