Confirmed,Source,KOR
O,"—— 未解锁 ——","—미개방—"
O,"—章节结束—","—챕터 종료—"
,"※不限次代理作战已开启","※ 무제한 대리작전 개시"
,"※以达到满级的升星战姬和3星机兵为目标进行一键升星。通过指定的优先顺序和额外设定来确认一键升星的目标后，点击升星按钮，所选的战姬将全部升星。","※ 만렙 승성전희와 3성 기병을 목표로 원터치 승성을 한다.지정한 우선순위와 추가 설정을 통해 승성의 목표를 확인한 후 승성 버튼을 클릭하면 선택한 전희는 모두 별을 뜬다."
,"※兑换时间：从 2020.12.22 11:00 - 2020.12.23 12:00 为止","※ 교환기간: 2020.12.22 11:00 - 2020.12.23 12:00까지"
,"※前回苍晶属性有利","※ 이전 회차 창정 속성이 유리합니다"
,"※只能选择部位与星级均相同的装备作为素材装备","※ 소재 장비는 부위와 별 모두 같은 장비만 선택 가능"
,"※可能因为多种原因切换频道失败","※ 여러 가지 이유로 채널을 전환하는 데 실패할 수 있습니다"
,"※技能按照1、2、3的顺序释放（普攻之后的技能将无法自动施放）","※ 스킬은 1, 2, 3순위로 방출됩니다(보습 후 스킬은 자동으로 실행되지 않습니다)"
,"※拖动角色框可以快捷换位","※캐릭터 프레임을 끌어당기면 빠르게 위치를 바꿀 수 있습니다"
,"※未获得道具","※아이템 미취득"
O,"※点击任意处关闭","※ 임의의 위치를 탭하여 닫기"
O,"※点击任意空白处关闭","※ 임의의 여백을 탭하여 닫기"
O,"※点击技能可以查看详情","※ 스킬 클릭으로 자세한 정보 보기"
O,"※点击技能可查看详情","※ 스킬 클릭으로 자세한 정보 보기"
O,"※点击空白处关闭","※ 여백을 탭하여 닫기"
,"※相同战姬同时可以作为升级、升星素材","※ 동일 전희는 업그레이드, 승성 소재도 가능"
,"※该装备没有词条","※ 이 장비는 표제어가 없습니다"
,"※ 以上两种指令只能选择一种激活","※ 위의 두 가지 명령어는 한 가지 활성화만 선택할 수 있습니다."
,"※ 允许接收好友申请","※ 친구 신청 접수 허용"
O,"※ 如下载数据超过50MB，则建议您在Wi-Fi环境下完成下载。","※ 다운로드 데이터가 50MB 이상이면, Wifi 환경에서 다운로드하는 것을 권장합니다."
O,"※ 完成对应声望的任务可积累声望值","※ 각 명성에 대응하는 임무를 완료하면 명성치를 쌓을 수 있습니다"
O,"※ 将追加下载数据。","※ 데이터를 추가 다운로드 합니다."
O,"※ 当前为消耗 2倍 的体力，每场战斗获将获得 2回 收益","※ 체력을 2배 소비함으로서, 전투로 획득하는 보상이 2배가 됩니다"
O,"※ 当前处于Wi-Fi环境下，继续下载将不会使用您的流量。","※ Wi-Fi를 연결하고 다운로드하시면 데이터를 사용하지 않습니다"
O,"※ 当前未在Wi-Fi环境下，继续下载将会使用您的流量。","※ Wi-Fi를 연결하지 않은체로 계속 다운로드하시면 데이터를 사용합니다"
O,"※ 当天未登录则无法获得奖励","※ 로그인하지 않으면 보상을 획득할 수 없습니다"
O,"※ 当天未登陆则无法获得奖励","※ 로그인하지 않으면 보상을 획득할 수 없습니다"
,"※ 新人每日招募证累计可获得特殊任用许可","※신인 일일모집증 누적으로는 특수임용허가를 받을 수 있습니다."
,"※ 每周日零点至周一五点将进行演习结算，届时将无法进行演习","※ 매주 일요일 0시~주15시 훈련 결산...훈련 불가능"
O,"《机动战姬：聚变》运营团队","《기동전희: 집변》 운영진"
,"「舰队起航」 纽带指令经验获取途径","함대 출항 유대 명령어 경험 획득 경로"
O,"【信息】","【정보】"
O,"【您没有活动CG收藏】","【이벤트 CG 컬렉션이 존재하지 않습니다】"
,"【方寸】词条完成度","【방촌】표제어 완성도"
,"【暂未有内容，请继续进行游戏】","【내용이 없습니다, 게임을 계속 진행하십시오.】"
O,"【黑胶炸鸡】","【블랙페퍼 치킨】"
,"一个","한 개"
,"一个简短","간단명료하다"
,"一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一个简短的介绍一","짤막한 소개 하나 짤막한 소개 하나 짤막한 소개 하나 짤막한 소개 하나 짤막한 소개 하나, 짤막한 소개 하나, 짤막한 소개 하나, 짤막한 소개 하나."
,"一二三四五上山打老虎老虎没打着大招小松鼠松鼠对我说一二三四一二三四五上山打老虎老虎没打着大招小松鼠松鼠对我说一二三四一二三四五上山打老虎老虎没打着大招小松鼠松鼠对我说一二三四一二三四五上山打老虎老虎没打着大招小松鼠松鼠对我说一二三四","하나, 둘, 셋, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네."
,"一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十","하나, 둘, 셋, 넷, 다섯, 여덟, 아홉, 십, 일, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 넷, 넷, 넷, 여덟, 열, 넷, 넷, 넷, 넷, 여덟, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷, 넷"
,"一二三四五六七","하나, 둘, 셋, 넷, 다섯, 여섯 일곱"
,"一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十","하나, 둘, 셋, 넷, 다섯, 여덟, 아홉, 십, 일, 둘, 셋, 넷, 넷, 넷, 여덟, 아홉, 열, 넷, 넷, 넷, 여덟, 아홉, 넷, 넷, 넷, 여덟, 아홉, 아홉, 넷, 넷, 여덟, 아홉,"
,"一二三四...","하나, 둘, 셋, 넷..."
,"一击必杀斩舰刀","일격필살참수도"
,"一句话描述当前状况，增加带入感","한 마디로 현재의 상황을 묘사하여, 흡입감을 높이다"
,"一大箱宝石","보석 한 상자"
,"一键升星","원터치 별"
,"一键填充","원터치 충전"
,"一键添加","원터치 추가"
O,"一键领取","일괄 수령"
,"七天人","칠일 동안"
,"七天刃","칠천날"
,"七天刃 ","칠천날"
,"七日登陆","칠일 상륙"
,"七武士","칠무사"
,"万","만"
O,"三星及以上","3성 이상"
O,"三星战姬","3성 전희"
,"上任日期","부임 날짜"
,"上次在线 -","지난번 온라인 -"
,"上次排名","지난번 순위"
,"上阵","싸움터로 나가다"
,"下一步","다음"
,"下一点能量恢复:","다음 에너지 회복:"
,"下个心碎片还需","다음 조각이 필요해"
,"下次更新商品列表","다음 업데이트 상품 목록"
,"下次更新商品列表的时间为","다음 상품 리스트 업데이트 시간은"
,"下载","다운로드"
,"不可升级","업그레이드 불가"
